"ID";"指示符";"软件包";"数量";"名称";"供应商和参考";
1;"K2_5,K0_9,K0_8,K0_5,K0_6,K0_7,K1_9,K1_8,K1_7,K1_6,K1_5,K2_6,K2_7,K2_8,K2_9,K3_6,K3_5";"Choc_Mini_PG1232_Choc_Spacing";17;"KEYSW";;;
2;"D0_8,D0_7,D0_6,D0_9,D0_5,D1_5,D1_6,D1_7,D1_8,D1_9,D2_6,D2_9,D2_8,D2_5,D2_7,D3_5,D3_6";"D_SOD-123";17;"1N4148W";;;
3;"Jack1";"TRRS-PJ-320A";1;"PJ-320A";;;
4;"R7,R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4.7kΩ";;;
5;"C13,C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0.1uF";;;
6;"U2";"SOIC-28W_7.5x17.9mm_P1.27mm";1;"MCP23017-E/SO";;;
7;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10kΩ";;;
